company_name,title,job_department,job_type,work_location_type,pay_type,location_city,location_state,location_country,salary_min,salary_max,experience_years,description,required_skills,perks,apply_link,joining_fee_required,is_night_shift,status,display_applications_count,posted_days_ago
"Amazon India","DevOps Engineer II",Engineering,contract,hybrid,fixed,Noida,"Uttar Pradesh",India,1000000,2000000,4,"Amazon India is hiring a DevOps Engineer. Automate deployments and maintain cloud infrastructure. Strong communication skills and relevant experience preferred.",AWS|Kubernetes|Terraform|CI/CD|Linux,"ESOP, Health insurance, Gym membership",https://www.amazon.jobs/en/locations/india,0,0,active,509,18
Flipkart,"Data Analyst II",Operations,part_time,remote,fixed,Kolkata,"West Bengal",India,500000,900000,1,"Flipkart is hiring a Data Analyst. Transform business data into dashboards and actionable insights. Strong communication skills and relevant experience preferred.","SQL|Excel|Python|Power BI|Tableau","Paid time off, Health insurance, Parental leave",https://www.flipkartcareers.com,0,0,active,1818,10
Swiggy,"Data Scientist II",Engineering,full_time,hybrid,fixed,Ahmedabad,Gujarat,India,1100000,2200000,3,"Swiggy is hiring a Data Scientist. Build predictive models and analytics solutions for product teams. Strong communication skills and relevant experience preferred.","Python|Machine Learning|Statistics|Pandas|SQL","Health insurance, Paid time off, Learning budget",https://careers.swiggy.com,0,0,active,336,12
Zomato,"QA Automation Engineer II",Engineering,full_time,remote,fixed,Remote,India,India,600000,1100000,2,"Zomato is hiring a QA Automation Engineer. Design automated test suites and improve release quality. Strong communication skills and relevant experience preferred.","Selenium|Java|API Testing|Jira|Agile","WFH, Health insurance, Annual bonus",https://www.zomato.com/careers,0,0,active,1758,11
Paytm,"Product Manager II",Operations,full_time,office,fixed,Bangalore,Karnataka,India,1200000,2500000,5,"Paytm is hiring a Product Manager. Define product vision and drive cross-functional delivery. Strong communication skills and relevant experience preferred.","Product Strategy|Roadmaps|Analytics|Stakeholder Management","Health insurance, Transport allowance, Flexible hours",https://paytm.com/careers,0,0,active,1140,28
PhonePe,"UI/UX Designer II",Engineering,contract,hybrid,fixed,Hyderabad,Telangana,India,650000,1200000,2,"PhonePe is hiring a UI/UX Designer. Create intuitive interfaces and user-centered product experiences. Strong communication skills and relevant experience preferred.","Figma|User Research|Prototyping|Design Systems","ESOP, Health insurance, Gym membership",https://www.phonepe.com/careers,0,0,active,2251,25
Razorpay,"Android Developer II",Engineering,part_time,remote,fixed,Pune,Maharashtra,India,750000,1400000,3,"Razorpay is hiring a Android Developer. Build and ship high-quality Android applications. Strong communication skills and relevant experience preferred.","Kotlin|Android SDK|REST APIs|Firebase","Paid time off, Health insurance, Parental leave",https://razorpay.com/jobs,0,0,active,1550,28
Freshworks,"iOS Developer II",Engineering,full_time,hybrid,fixed,Mumbai,Maharashtra,India,800000,1500000,3,"Freshworks is hiring a iOS Developer. Develop native iOS apps for consumer and enterprise users. Strong communication skills and relevant experience preferred.","Swift|UIKit|SwiftUI|REST APIs","Health insurance, Paid time off, Learning budget",https://www.freshworks.com/company/careers,0,0,active,692,27
Zoho,"Flutter Developer II",Engineering,full_time,remote,fixed,Chennai,"Tamil Nadu",India,700000,1300000,2,"Zoho is hiring a Flutter Developer. Deliver cross-platform mobile apps from a single codebase. Strong communication skills and relevant experience preferred.","Flutter|Dart|Firebase|REST APIs","WFH, Health insurance, Annual bonus",https://www.zoho.com/careers,0,0,active,906,20
Mindtree,"Cloud Architect II",Engineering,full_time,office,fixed,"Delhi NCR",Delhi,India,1800000,3500000,8,"Mindtree is hiring a Cloud Architect. Lead cloud migration and architecture for large programs. Strong communication skills and relevant experience preferred.","AWS|Azure|Solution Design|Security|Networking","Health insurance, Transport allowance, Flexible hours",https://www.mindtree.com/careers,0,0,active,1952,0
LTIMindtree,"Business Analyst II",Operations,contract,hybrid,fixed,Gurgaon,Haryana,India,700000,1200000,3,"LTIMindtree is hiring a Business Analyst. Bridge business needs with technical delivery teams. Strong communication skills and relevant experience preferred.","Requirements|SQL|Jira|Documentation|Stakeholder Management","ESOP, Health insurance, Gym membership",https://www.ltimindtree.com/careers,0,0,active,1300,3
Cognizant,"Sales Executive II",Sales,part_time,remote,fixed,Noida,"Uttar Pradesh",India,400000,800000,2,"Cognizant is hiring a Sales Executive. Drive revenue growth through enterprise client relationships. Strong communication skills and relevant experience preferred.","B2B Sales|CRM|Negotiation|Communication","Paid time off, Health insurance, Parental leave",https://careers.cognizant.com,0,0,active,263,29
"Deloitte India","Digital Marketing Manager II",Marketing,full_time,hybrid,fixed,Kolkata,"West Bengal",India,600000,1100000,4,"Deloitte India is hiring a Digital Marketing Manager. Plan and execute digital campaigns across channels. Strong communication skills and relevant experience preferred.","SEO|Google Ads|Analytics|Content Strategy","Health insurance, Paid time off, Learning budget",https://www2.deloitte.com/in/en/careers,0,0,active,2375,16
"EY India","HR Business Partner II","Human Resources",full_time,remote,fixed,Ahmedabad,Gujarat,India,700000,1300000,5,"EY India is hiring a HR Business Partner. Partner with leaders on hiring, retention, and culture. Strong communication skills and relevant experience preferred.","Talent Management|Employee Relations|HR Policies","WFH, Health insurance, Annual bonus",https://careers.ey.com,0,0,active,1465,29
"KPMG India","Financial Analyst II",Finance,full_time,office,fixed,Remote,India,India,550000,1000000,2,"KPMG India is hiring a Financial Analyst. Support budgeting, forecasting, and financial reporting. Strong communication skills and relevant experience preferred.","Excel|Financial Modeling|SAP|Reporting","Health insurance, Transport allowance, Flexible hours",https://home.kpmg/in/en/home/careers,0,0,active,2175,13
Genpact,"Customer Support Lead II","Customer Support",contract,hybrid,fixed,Bangalore,Karnataka,India,450000,850000,3,"Genpact is hiring a Customer Support Lead. Lead support operations and improve customer satisfaction. Strong communication skills and relevant experience preferred.","Customer Service|Team Leadership|CRM|Communication","ESOP, Health insurance, Gym membership",https://www.genpact.com/careers,0,0,active,1839,10
TCS,"Cybersecurity Analyst II",Engineering,part_time,remote,fixed,Hyderabad,Telangana,India,900000,1700000,3,"TCS is hiring a Cybersecurity Analyst. Monitor threats and strengthen organizational security posture. Strong communication skills and relevant experience preferred.","SIEM|Network Security|Incident Response|Compliance","Paid time off, Health insurance, Parental leave",https://www.tcs.com/careers,0,0,active,1793,19
Infosys,"Python Developer II",Engineering,full_time,hybrid,fixed,Pune,Maharashtra,India,650000,1200000,2,"Infosys is hiring a Python Developer. Build APIs and backend services using Python frameworks. Strong communication skills and relevant experience preferred.","Python|Django|Flask|PostgreSQL|REST APIs","Health insurance, Paid time off, Learning budget",https://www.infosys.com/careers,0,0,active,752,5
Wipro,"SAP Consultant II",Operations,full_time,remote,fixed,Mumbai,Maharashtra,India,1000000,1900000,4,"Wipro is hiring a SAP Consultant. Implement and support SAP modules for enterprise clients. Strong communication skills and relevant experience preferred.","SAP FICO|SAP MM|Implementation|Configuration","WFH, Health insurance, Annual bonus",https://careers.wipro.com,0,0,active,134,15
"HCL Technologies","Network Engineer II",Engineering,full_time,office,fixed,Chennai,"Tamil Nadu",India,600000,1100000,3,"HCL Technologies is hiring a Network Engineer. Maintain network infrastructure and troubleshoot connectivity. Strong communication skills and relevant experience preferred.",Cisco|Routing|Switching|Firewalls|LAN/WAN,"Health insurance, Transport allowance, Flexible hours",https://www.hcltech.com/careers,0,0,active,2205,8
"Tech Mahindra","Content Writer II",Marketing,contract,hybrid,fixed,"Delhi NCR",Delhi,India,350000,650000,1,"Tech Mahindra is hiring a Content Writer. Create engaging content for web, blogs, and marketing campaigns. Strong communication skills and relevant experience preferred.","Content Writing|SEO|Editing|Research","ESOP, Health insurance, Gym membership",https://careers.techmahindra.com,0,0,active,1694,7
"Accenture India","Operations Manager II",Operations,part_time,remote,fixed,Gurgaon,Haryana,India,900000,1600000,6,"Accenture India is hiring a Operations Manager. Optimize daily operations and cross-team workflows. Strong communication skills and relevant experience preferred.","Operations|Process Improvement|Team Management|KPIs","Paid time off, Health insurance, Parental leave",https://www.accenture.com/in-en/careers,0,0,active,796,25
"Capgemini India","Senior Java Developer II",Engineering,full_time,hybrid,fixed,Noida,"Uttar Pradesh",India,900000,1800000,5,"Capgemini India is hiring a Senior Java Developer. Design and build scalable backend services for enterprise clients. Strong communication skills and relevant experience preferred.","Java|Spring Boot|Microservices|SQL|AWS","Health insurance, Paid time off, Learning budget",https://www.capgemini.com/careers,0,0,active,1672,23
"IBM India","React Frontend Engineer II",Engineering,full_time,remote,fixed,Kolkata,"West Bengal",India,700000,1300000,2,"IBM India is hiring a React Frontend Engineer. Develop responsive web applications with modern frontend stacks. Strong communication skills and relevant experience preferred.","React|TypeScript|REST APIs|CSS|Git","WFH, Health insurance, Annual bonus",https://www.ibm.com/careers,0,0,active,2221,0
"Amazon India","Full Stack Developer II",Engineering,full_time,office,fixed,Ahmedabad,Gujarat,India,800000,1500000,3,"Amazon India is hiring a Full Stack Developer. Own features end-to-end across API and UI layers. Strong communication skills and relevant experience preferred.",Node.js|React|MongoDB|PostgreSQL|Docker,"Health insurance, Transport allowance, Flexible hours",https://www.amazon.jobs/en/locations/india,0,0,active,806,29
Flipkart,"DevOps Engineer II",Engineering,contract,hybrid,fixed,Remote,India,India,1000000,2000000,4,"Flipkart is hiring a DevOps Engineer. Automate deployments and maintain cloud infrastructure. Strong communication skills and relevant experience preferred.",AWS|Kubernetes|Terraform|CI/CD|Linux,"ESOP, Health insurance, Gym membership",https://www.flipkartcareers.com,0,0,active,1475,24
Swiggy,"Data Analyst II",Operations,part_time,remote,fixed,Bangalore,Karnataka,India,500000,900000,1,"Swiggy is hiring a Data Analyst. Transform business data into dashboards and actionable insights. Strong communication skills and relevant experience preferred.","SQL|Excel|Python|Power BI|Tableau","Paid time off, Health insurance, Parental leave",https://careers.swiggy.com,0,0,active,333,23
Zomato,"Data Scientist II",Engineering,full_time,hybrid,fixed,Hyderabad,Telangana,India,1100000,2200000,3,"Zomato is hiring a Data Scientist. Build predictive models and analytics solutions for product teams. Strong communication skills and relevant experience preferred.","Python|Machine Learning|Statistics|Pandas|SQL","Health insurance, Paid time off, Learning budget",https://www.zomato.com/careers,0,0,active,1411,21
Paytm,"QA Automation Engineer II",Engineering,full_time,remote,fixed,Pune,Maharashtra,India,600000,1100000,2,"Paytm is hiring a QA Automation Engineer. Design automated test suites and improve release quality. Strong communication skills and relevant experience preferred.","Selenium|Java|API Testing|Jira|Agile","WFH, Health insurance, Annual bonus",https://paytm.com/careers,0,0,active,166,22
PhonePe,"Product Manager II",Operations,full_time,office,fixed,Mumbai,Maharashtra,India,1200000,2500000,5,"PhonePe is hiring a Product Manager. Define product vision and drive cross-functional delivery. Strong communication skills and relevant experience preferred.","Product Strategy|Roadmaps|Analytics|Stakeholder Management","Health insurance, Transport allowance, Flexible hours",https://www.phonepe.com/careers,0,0,active,1622,7
Razorpay,"UI/UX Designer II",Engineering,contract,hybrid,fixed,Chennai,"Tamil Nadu",India,650000,1200000,2,"Razorpay is hiring a UI/UX Designer. Create intuitive interfaces and user-centered product experiences. Strong communication skills and relevant experience preferred.","Figma|User Research|Prototyping|Design Systems","ESOP, Health insurance, Gym membership",https://razorpay.com/jobs,0,0,active,1579,7
Freshworks,"Android Developer II",Engineering,part_time,remote,fixed,"Delhi NCR",Delhi,India,750000,1400000,3,"Freshworks is hiring a Android Developer. Build and ship high-quality Android applications. Strong communication skills and relevant experience preferred.","Kotlin|Android SDK|REST APIs|Firebase","Paid time off, Health insurance, Parental leave",https://www.freshworks.com/company/careers,0,0,active,323,22
Zoho,"iOS Developer II",Engineering,full_time,hybrid,fixed,Gurgaon,Haryana,India,800000,1500000,3,"Zoho is hiring a iOS Developer. Develop native iOS apps for consumer and enterprise users. Strong communication skills and relevant experience preferred.","Swift|UIKit|SwiftUI|REST APIs","Health insurance, Paid time off, Learning budget",https://www.zoho.com/careers,0,0,active,1657,22
Mindtree,"Flutter Developer II",Engineering,full_time,remote,fixed,Noida,"Uttar Pradesh",India,700000,1300000,2,"Mindtree is hiring a Flutter Developer. Deliver cross-platform mobile apps from a single codebase. Strong communication skills and relevant experience preferred.","Flutter|Dart|Firebase|REST APIs","WFH, Health insurance, Annual bonus",https://www.mindtree.com/careers,0,0,active,467,29
LTIMindtree,"Cloud Architect II",Engineering,full_time,office,fixed,Kolkata,"West Bengal",India,1800000,3500000,8,"LTIMindtree is hiring a Cloud Architect. Lead cloud migration and architecture for large programs. Strong communication skills and relevant experience preferred.","AWS|Azure|Solution Design|Security|Networking","Health insurance, Transport allowance, Flexible hours",https://www.ltimindtree.com/careers,0,0,active,1320,27
Cognizant,"Business Analyst II",Operations,contract,hybrid,fixed,Ahmedabad,Gujarat,India,700000,1200000,3,"Cognizant is hiring a Business Analyst. Bridge business needs with technical delivery teams. Strong communication skills and relevant experience preferred.","Requirements|SQL|Jira|Documentation|Stakeholder Management","ESOP, Health insurance, Gym membership",https://careers.cognizant.com,0,0,active,1232,12
"Deloitte India","Sales Executive II",Sales,part_time,remote,fixed,Remote,India,India,400000,800000,2,"Deloitte India is hiring a Sales Executive. Drive revenue growth through enterprise client relationships. Strong communication skills and relevant experience preferred.","B2B Sales|CRM|Negotiation|Communication","Paid time off, Health insurance, Parental leave",https://www2.deloitte.com/in/en/careers,0,0,active,780,25
"EY India","Digital Marketing Manager II",Marketing,full_time,hybrid,fixed,Bangalore,Karnataka,India,600000,1100000,4,"EY India is hiring a Digital Marketing Manager. Plan and execute digital campaigns across channels. Strong communication skills and relevant experience preferred.","SEO|Google Ads|Analytics|Content Strategy","Health insurance, Paid time off, Learning budget",https://careers.ey.com,0,0,active,2332,16
"KPMG India","HR Business Partner II","Human Resources",full_time,remote,fixed,Hyderabad,Telangana,India,700000,1300000,5,"KPMG India is hiring a HR Business Partner. Partner with leaders on hiring, retention, and culture. Strong communication skills and relevant experience preferred.","Talent Management|Employee Relations|HR Policies","WFH, Health insurance, Annual bonus",https://home.kpmg/in/en/home/careers,0,0,active,1891,8
Genpact,"Financial Analyst II",Finance,full_time,office,fixed,Pune,Maharashtra,India,550000,1000000,2,"Genpact is hiring a Financial Analyst. Support budgeting, forecasting, and financial reporting. Strong communication skills and relevant experience preferred.","Excel|Financial Modeling|SAP|Reporting","Health insurance, Transport allowance, Flexible hours",https://www.genpact.com/careers,0,0,active,1788,5
TCS,"Customer Support Lead II","Customer Support",contract,hybrid,fixed,Mumbai,Maharashtra,India,450000,850000,3,"TCS is hiring a Customer Support Lead. Lead support operations and improve customer satisfaction. Strong communication skills and relevant experience preferred.","Customer Service|Team Leadership|CRM|Communication","ESOP, Health insurance, Gym membership",https://www.tcs.com/careers,0,0,active,542,5
Infosys,"Cybersecurity Analyst II",Engineering,part_time,remote,fixed,Chennai,"Tamil Nadu",India,900000,1700000,3,"Infosys is hiring a Cybersecurity Analyst. Monitor threats and strengthen organizational security posture. Strong communication skills and relevant experience preferred.","SIEM|Network Security|Incident Response|Compliance","Paid time off, Health insurance, Parental leave",https://www.infosys.com/careers,0,0,active,2271,20
Wipro,"Python Developer II",Engineering,full_time,hybrid,fixed,"Delhi NCR",Delhi,India,650000,1200000,2,"Wipro is hiring a Python Developer. Build APIs and backend services using Python frameworks. Strong communication skills and relevant experience preferred.","Python|Django|Flask|PostgreSQL|REST APIs","Health insurance, Paid time off, Learning budget",https://careers.wipro.com,0,0,active,1987,7
"HCL Technologies","SAP Consultant II",Operations,full_time,remote,fixed,Gurgaon,Haryana,India,1000000,1900000,4,"HCL Technologies is hiring a SAP Consultant. Implement and support SAP modules for enterprise clients. Strong communication skills and relevant experience preferred.","SAP FICO|SAP MM|Implementation|Configuration","WFH, Health insurance, Annual bonus",https://www.hcltech.com/careers,0,0,active,1527,20
"Tech Mahindra","Network Engineer II",Engineering,full_time,office,fixed,Noida,"Uttar Pradesh",India,600000,1100000,3,"Tech Mahindra is hiring a Network Engineer. Maintain network infrastructure and troubleshoot connectivity. Strong communication skills and relevant experience preferred.",Cisco|Routing|Switching|Firewalls|LAN/WAN,"Health insurance, Transport allowance, Flexible hours",https://careers.techmahindra.com,0,0,active,639,3
"Accenture India","Content Writer II",Marketing,contract,hybrid,fixed,Kolkata,"West Bengal",India,350000,650000,1,"Accenture India is hiring a Content Writer. Create engaging content for web, blogs, and marketing campaigns. Strong communication skills and relevant experience preferred.","Content Writing|SEO|Editing|Research","ESOP, Health insurance, Gym membership",https://www.accenture.com/in-en/careers,0,0,active,2080,28
"Capgemini India","Operations Manager II",Operations,part_time,remote,fixed,Ahmedabad,Gujarat,India,900000,1600000,6,"Capgemini India is hiring a Operations Manager. Optimize daily operations and cross-team workflows. Strong communication skills and relevant experience preferred.","Operations|Process Improvement|Team Management|KPIs","Paid time off, Health insurance, Parental leave",https://www.capgemini.com/careers,0,0,active,1969,11
"IBM India","Senior Java Developer II",Engineering,full_time,hybrid,fixed,Remote,India,India,900000,1800000,5,"IBM India is hiring a Senior Java Developer. Design and build scalable backend services for enterprise clients. Strong communication skills and relevant experience preferred.","Java|Spring Boot|Microservices|SQL|AWS","Health insurance, Paid time off, Learning budget",https://www.ibm.com/careers,0,0,active,985,23
"Amazon India","React Frontend Engineer II",Engineering,full_time,remote,fixed,Bangalore,Karnataka,India,700000,1300000,2,"Amazon India is hiring a React Frontend Engineer. Develop responsive web applications with modern frontend stacks. Strong communication skills and relevant experience preferred.","React|TypeScript|REST APIs|CSS|Git","WFH, Health insurance, Annual bonus",https://www.amazon.jobs/en/locations/india,0,0,active,93,15
Flipkart,"Full Stack Developer II",Engineering,full_time,office,fixed,Hyderabad,Telangana,India,800000,1500000,3,"Flipkart is hiring a Full Stack Developer. Own features end-to-end across API and UI layers. Strong communication skills and relevant experience preferred.",Node.js|React|MongoDB|PostgreSQL|Docker,"Health insurance, Transport allowance, Flexible hours",https://www.flipkartcareers.com,0,0,active,2340,10
Swiggy,"DevOps Engineer II",Engineering,contract,hybrid,fixed,Pune,Maharashtra,India,1000000,2000000,4,"Swiggy is hiring a DevOps Engineer. Automate deployments and maintain cloud infrastructure. Strong communication skills and relevant experience preferred.",AWS|Kubernetes|Terraform|CI/CD|Linux,"ESOP, Health insurance, Gym membership",https://careers.swiggy.com,0,0,active,1264,0
Zomato,"Data Analyst II",Operations,part_time,remote,fixed,Mumbai,Maharashtra,India,500000,900000,1,"Zomato is hiring a Data Analyst. Transform business data into dashboards and actionable insights. Strong communication skills and relevant experience preferred.","SQL|Excel|Python|Power BI|Tableau","Paid time off, Health insurance, Parental leave",https://www.zomato.com/careers,0,0,active,2334,11
Paytm,"Data Scientist II",Engineering,full_time,hybrid,fixed,Chennai,"Tamil Nadu",India,1100000,2200000,3,"Paytm is hiring a Data Scientist. Build predictive models and analytics solutions for product teams. Strong communication skills and relevant experience preferred.","Python|Machine Learning|Statistics|Pandas|SQL","Health insurance, Paid time off, Learning budget",https://paytm.com/careers,0,0,active,2120,9
PhonePe,"QA Automation Engineer II",Engineering,full_time,remote,fixed,"Delhi NCR",Delhi,India,600000,1100000,2,"PhonePe is hiring a QA Automation Engineer. Design automated test suites and improve release quality. Strong communication skills and relevant experience preferred.","Selenium|Java|API Testing|Jira|Agile","WFH, Health insurance, Annual bonus",https://www.phonepe.com/careers,0,0,active,2094,19
Razorpay,"Product Manager II",Operations,full_time,office,fixed,Gurgaon,Haryana,India,1200000,2500000,5,"Razorpay is hiring a Product Manager. Define product vision and drive cross-functional delivery. Strong communication skills and relevant experience preferred.","Product Strategy|Roadmaps|Analytics|Stakeholder Management","Health insurance, Transport allowance, Flexible hours",https://razorpay.com/jobs,0,0,active,2335,20
Freshworks,"UI/UX Designer II",Engineering,contract,hybrid,fixed,Noida,"Uttar Pradesh",India,650000,1200000,2,"Freshworks is hiring a UI/UX Designer. Create intuitive interfaces and user-centered product experiences. Strong communication skills and relevant experience preferred.","Figma|User Research|Prototyping|Design Systems","ESOP, Health insurance, Gym membership",https://www.freshworks.com/company/careers,0,0,active,1441,14
Zoho,"Android Developer II",Engineering,part_time,remote,fixed,Kolkata,"West Bengal",India,750000,1400000,3,"Zoho is hiring a Android Developer. Build and ship high-quality Android applications. Strong communication skills and relevant experience preferred.","Kotlin|Android SDK|REST APIs|Firebase","Paid time off, Health insurance, Parental leave",https://www.zoho.com/careers,0,0,active,1915,13
Mindtree,"iOS Developer II",Engineering,full_time,hybrid,fixed,Ahmedabad,Gujarat,India,800000,1500000,3,"Mindtree is hiring a iOS Developer. Develop native iOS apps for consumer and enterprise users. Strong communication skills and relevant experience preferred.","Swift|UIKit|SwiftUI|REST APIs","Health insurance, Paid time off, Learning budget",https://www.mindtree.com/careers,0,0,active,103,11
LTIMindtree,"Flutter Developer II",Engineering,full_time,remote,fixed,Remote,India,India,700000,1300000,2,"LTIMindtree is hiring a Flutter Developer. Deliver cross-platform mobile apps from a single codebase. Strong communication skills and relevant experience preferred.","Flutter|Dart|Firebase|REST APIs","WFH, Health insurance, Annual bonus",https://www.ltimindtree.com/careers,0,0,active,1826,24
Cognizant,"Cloud Architect II",Engineering,full_time,office,fixed,Bangalore,Karnataka,India,1800000,3500000,8,"Cognizant is hiring a Cloud Architect. Lead cloud migration and architecture for large programs. Strong communication skills and relevant experience preferred.","AWS|Azure|Solution Design|Security|Networking","Health insurance, Transport allowance, Flexible hours",https://careers.cognizant.com,0,0,active,903,26
"Deloitte India","Business Analyst II",Operations,contract,hybrid,fixed,Hyderabad,Telangana,India,700000,1200000,3,"Deloitte India is hiring a Business Analyst. Bridge business needs with technical delivery teams. Strong communication skills and relevant experience preferred.","Requirements|SQL|Jira|Documentation|Stakeholder Management","ESOP, Health insurance, Gym membership",https://www2.deloitte.com/in/en/careers,0,0,active,375,29
"EY India","Sales Executive II",Sales,part_time,remote,fixed,Pune,Maharashtra,India,400000,800000,2,"EY India is hiring a Sales Executive. Drive revenue growth through enterprise client relationships. Strong communication skills and relevant experience preferred.","B2B Sales|CRM|Negotiation|Communication","Paid time off, Health insurance, Parental leave",https://careers.ey.com,0,0,active,1696,27
"KPMG India","Digital Marketing Manager II",Marketing,full_time,hybrid,fixed,Mumbai,Maharashtra,India,600000,1100000,4,"KPMG India is hiring a Digital Marketing Manager. Plan and execute digital campaigns across channels. Strong communication skills and relevant experience preferred.","SEO|Google Ads|Analytics|Content Strategy","Health insurance, Paid time off, Learning budget",https://home.kpmg/in/en/home/careers,0,0,active,1246,19
Genpact,"HR Business Partner II","Human Resources",full_time,remote,fixed,Chennai,"Tamil Nadu",India,700000,1300000,5,"Genpact is hiring a HR Business Partner. Partner with leaders on hiring, retention, and culture. Strong communication skills and relevant experience preferred.","Talent Management|Employee Relations|HR Policies","WFH, Health insurance, Annual bonus",https://www.genpact.com/careers,0,0,active,1377,18
TCS,"Financial Analyst II",Finance,full_time,office,fixed,"Delhi NCR",Delhi,India,550000,1000000,2,"TCS is hiring a Financial Analyst. Support budgeting, forecasting, and financial reporting. Strong communication skills and relevant experience preferred.","Excel|Financial Modeling|SAP|Reporting","Health insurance, Transport allowance, Flexible hours",https://www.tcs.com/careers,0,0,active,484,13
Infosys,"Customer Support Lead II","Customer Support",contract,hybrid,fixed,Gurgaon,Haryana,India,450000,850000,3,"Infosys is hiring a Customer Support Lead. Lead support operations and improve customer satisfaction. Strong communication skills and relevant experience preferred.","Customer Service|Team Leadership|CRM|Communication","ESOP, Health insurance, Gym membership",https://www.infosys.com/careers,0,0,active,1321,2
Wipro,"Cybersecurity Analyst II",Engineering,part_time,remote,fixed,Noida,"Uttar Pradesh",India,900000,1700000,3,"Wipro is hiring a Cybersecurity Analyst. Monitor threats and strengthen organizational security posture. Strong communication skills and relevant experience preferred.","SIEM|Network Security|Incident Response|Compliance","Paid time off, Health insurance, Parental leave",https://careers.wipro.com,0,0,active,634,26
"HCL Technologies","Python Developer II",Engineering,full_time,hybrid,fixed,Kolkata,"West Bengal",India,650000,1200000,2,"HCL Technologies is hiring a Python Developer. Build APIs and backend services using Python frameworks. Strong communication skills and relevant experience preferred.","Python|Django|Flask|PostgreSQL|REST APIs","Health insurance, Paid time off, Learning budget",https://www.hcltech.com/careers,0,0,active,1088,12
"Tech Mahindra","SAP Consultant II",Operations,full_time,remote,fixed,Ahmedabad,Gujarat,India,1000000,1900000,4,"Tech Mahindra is hiring a SAP Consultant. Implement and support SAP modules for enterprise clients. Strong communication skills and relevant experience preferred.","SAP FICO|SAP MM|Implementation|Configuration","WFH, Health insurance, Annual bonus",https://careers.techmahindra.com,0,0,active,1335,29
"Accenture India","Network Engineer II",Engineering,full_time,office,fixed,Remote,India,India,600000,1100000,3,"Accenture India is hiring a Network Engineer. Maintain network infrastructure and troubleshoot connectivity. Strong communication skills and relevant experience preferred.",Cisco|Routing|Switching|Firewalls|LAN/WAN,"Health insurance, Transport allowance, Flexible hours",https://www.accenture.com/in-en/careers,0,0,active,1251,23
"Capgemini India","Content Writer II",Marketing,contract,hybrid,fixed,Bangalore,Karnataka,India,350000,650000,1,"Capgemini India is hiring a Content Writer. Create engaging content for web, blogs, and marketing campaigns. Strong communication skills and relevant experience preferred.","Content Writing|SEO|Editing|Research","ESOP, Health insurance, Gym membership",https://www.capgemini.com/careers,0,0,active,1013,10
"IBM India","Operations Manager II",Operations,part_time,remote,fixed,Hyderabad,Telangana,India,900000,1600000,6,"IBM India is hiring a Operations Manager. Optimize daily operations and cross-team workflows. Strong communication skills and relevant experience preferred.","Operations|Process Improvement|Team Management|KPIs","Paid time off, Health insurance, Parental leave",https://www.ibm.com/careers,0,0,active,984,3
"Amazon India","Senior Java Developer II",Engineering,full_time,hybrid,fixed,Pune,Maharashtra,India,900000,1800000,5,"Amazon India is hiring a Senior Java Developer. Design and build scalable backend services for enterprise clients. Strong communication skills and relevant experience preferred.","Java|Spring Boot|Microservices|SQL|AWS","Health insurance, Paid time off, Learning budget",https://www.amazon.jobs/en/locations/india,0,0,active,1859,7
Flipkart,"React Frontend Engineer II",Engineering,full_time,remote,fixed,Mumbai,Maharashtra,India,700000,1300000,2,"Flipkart is hiring a React Frontend Engineer. Develop responsive web applications with modern frontend stacks. Strong communication skills and relevant experience preferred.","React|TypeScript|REST APIs|CSS|Git","WFH, Health insurance, Annual bonus",https://www.flipkartcareers.com,0,0,active,264,8
Swiggy,"Full Stack Developer II",Engineering,full_time,office,fixed,Chennai,"Tamil Nadu",India,800000,1500000,3,"Swiggy is hiring a Full Stack Developer. Own features end-to-end across API and UI layers. Strong communication skills and relevant experience preferred.",Node.js|React|MongoDB|PostgreSQL|Docker,"Health insurance, Transport allowance, Flexible hours",https://careers.swiggy.com,0,0,active,721,6
Zomato,"DevOps Engineer II",Engineering,contract,hybrid,fixed,"Delhi NCR",Delhi,India,1000000,2000000,4,"Zomato is hiring a DevOps Engineer. Automate deployments and maintain cloud infrastructure. Strong communication skills and relevant experience preferred.",AWS|Kubernetes|Terraform|CI/CD|Linux,"ESOP, Health insurance, Gym membership",https://www.zomato.com/careers,0,0,active,1582,4
Paytm,"Data Analyst II",Operations,part_time,remote,fixed,Gurgaon,Haryana,India,500000,900000,1,"Paytm is hiring a Data Analyst. Transform business data into dashboards and actionable insights. Strong communication skills and relevant experience preferred.","SQL|Excel|Python|Power BI|Tableau","Paid time off, Health insurance, Parental leave",https://paytm.com/careers,0,0,active,1933,30
PhonePe,"Data Scientist II",Engineering,full_time,hybrid,fixed,Noida,"Uttar Pradesh",India,1100000,2200000,3,"PhonePe is hiring a Data Scientist. Build predictive models and analytics solutions for product teams. Strong communication skills and relevant experience preferred.","Python|Machine Learning|Statistics|Pandas|SQL","Health insurance, Paid time off, Learning budget",https://www.phonepe.com/careers,0,0,active,259,14
Razorpay,"QA Automation Engineer II",Engineering,full_time,remote,fixed,Kolkata,"West Bengal",India,600000,1100000,2,"Razorpay is hiring a QA Automation Engineer. Design automated test suites and improve release quality. Strong communication skills and relevant experience preferred.","Selenium|Java|API Testing|Jira|Agile","WFH, Health insurance, Annual bonus",https://razorpay.com/jobs,0,0,active,1711,28
